SkillId,Skill_US,Phases
4261,dxa scan,Software
4262,unified modeling language (uml),Software
4263,artificial heart,Support Activities
4264,drug therapy,Support Activities
4265,attribution modeling,Support Activities
4266,neuropathic pain,Software
4267,best source value selection,Support Activities
4269,visual foxpro,Software
4270,bioremediation,Materials
4271,satisfaction failure correction,Support Activities
4272,microsoft project,Software
4273,media coverage,Support Activities
4276,lasik,Support Activities
4277,bradycardia,Software
4278,iso 14004,Software
4279,prosecution,Support Activities
4280,profit and loss statements,Support Activities
4281,tivoli,Software
4282,enscribe,Software
4284,low-slope roofing,Support Activities
4285,social psychology,Support Activities
4286,palpate,Software
4287,expense approval,Support Activities
4290,erlang,Software
4291,media campaigning,Support Activities
4292,grain milling industry knowledge,Production and Assembling
4293,prematurity,Software
4295,profit analysis,Support Activities
4296,drug activity,Support Activities
4298,vascular surgery,Support Activities
4300,solar and wind energy,Tooling and Machining
4301,home health,Support Activities
4302,escala,Support Activities
4303,communications programs,Support Activities
4304,independent thinking,General Skills
4305,gastrointestinal disorder,Software
4306,sbt accounting,Support Activities
4308,nanomedicine,Software
4312,sub-optimal organization development,Ideation and Development
4315,sculpting,Design
4316,patient referral,Support Activities
4318,aviation safety,Supply Chain and Logistics
4319,hand saws,Tooling and Machining
4320,biologic manufacturing,Production and Assembling
4321,electromechanical commodities,Materials
4325,stress management,Support Activities
4326,sourcing policies,Support Activities
4327,internet service provider (isp),Software
4332,industrial engineering industry expertise,Production and Assembling
4333,process verification,Production and Assembling
4334,thoracentesis,Software
4336,dna vaccines,Materials
4337,dna polymerase,Materials
4340,topic-based authoring,Software
4342,clean water compliance,Support Activities
4343,patient examination,Support Activities
4344,workers' compensation,Support Activities
4345,patient visitation,Support Activities
4346,panel termination,Tooling and Machining
4347,softball,General Skills
4349,emergency medicine,Support Activities
4350,consumer content development,Ideation and Development
4351,surfcam,Tooling and Machining
4352,product availability,Support Activities
4353,gnu c,Software
4355,metal extraction,Production and Assembling
4356,microrna,Software
4357,webtrends,Support Activities
4359,urology,Software
4360,brand identity,Support Activities
4363,dbcs,Software
4365,patient care coordination,General Skills
4366,chlamydia diagnosis / treatment,Software
4368,administrative industry knowledge,Support Activities
4369,communication disorders,Support Activities
4370,full-life cycle recruiting,Support Activities
4371,basic accounting knowledge,Support Activities
4374,device monitoring,Software
4377,inventory valuation,Support Activities
4378,automotive leasing industry knowledge,Supply Chain and Logistics
4383,mailing industry knowledge,Support Activities
4386,conjoint analysis,Support Activities
4388,diarrhea diagnosis / treatment,Software
4389,medical equipment sales,Support Activities
4390,enzyme immunoassay,Materials
4391,persuasion,General Skills
4393,tetracycline,Materials
4394,wireshark,Software
4396,alternative therapy,Support Activities
4397,joint conditions,Support Activities
4400,water closets,Tooling and Machining
4403,endothelial,Software
4406,atrial,Support Activities
4407,garden industry knowledge,Supply Chain and Logistics
4408,compensation analysis,Support Activities
4410,employment industry knowledge,Support Activities
4412,bus industry knowledge,Supply Chain and Logistics
4414,protein isolation,Materials
4415,promotional materials,Support Activities
4418,hepatology,Software
4420,defibrillation,Software
4421,meteorology,Support Activities
4423,invoice payment,Support Activities
4424,hr policies,Support Activities
4426,green supplier,Supply Chain and Logistics
4427,marketplace dynamics,Support Activities
4428,steam regulation,Support Activities
4429,energy policy,Support Activities
4431,private aviation,Supply Chain and Logistics
4432,equipment inventory,Supply Chain and Logistics
4433,laminectomy,Support Activities
4437,level editor,Design
4438,employee feedback,Support Activities
4439,corporate marketing,Support Activities
4440,subpoena preparation,Support Activities
4442,microbial testing,Software
4443,usability testing,Software
4445,loan payment acceptance,Support Activities
4446,water quality analysis,Materials
4448,marketing event development,Support Activities
4449,account closing,Support Activities
4450,apple pages,Software
4451,root cause analysis,Support Activities
4452,deterrence of rule or safety violations,Support Activities
4455,collateral production,Support Activities
4456,keyword research,Support Activities
4457,radioactive materials handling,Materials
4459,outpatient prospective payment system (opps),Support Activities
4462,instructions on product usage,Supply Chain and Logistics
4463,lighting set-up,Tooling and Machining
4464,desoldering,Tooling and Machining
4466,darwin information typing architecture (dita),Software
4467,regression testing,Software
4469,exercise administration,Support Activities
4470,nurse management,Support Activities
4472,blister packaging,Supply Chain and Logistics
4474,online affiliate programs,Support Activities
4475,product display negotiation,Support Activities
4476,information governance,Software
4478,oil extraction,Tooling and Machining
4479,global procurement,Supply Chain and Logistics
4481,sustainable design,Support Activities
4483,lead scoring,Support Activities
4484,pilot tubes,Tooling and Machining
4487,aircraft structure assembly,Tooling and Machining
4488,specimen preparation,Support Activities
4489,railroad engineering,Supply Chain and Logistics
4490,x-ray evaluation,Support Activities
4492,health savings account,Support Activities
4495,t-cell lymphoma,Support Activities
4496,electronic document management system,Software
4497,network infrastructure,Software
4500,content marketing,Support Activities
4502,nichd,Software
4505,pharmacoepidemiology,Software
4506,electrophoretic methods,Support Activities
4507,time sheet collection,Support Activities
4508,integrated supply chain (isc) management,Supply Chain and Logistics
4510,patient rehabilitation,General Skills
4511,pipeline design,Design
4513,health information policy/procedure planning,Support Activities
4514,progress documentation,General Skills
4515,cash deposits and receipts,Support Activities
4516,nearest neighbor algorithm,Support Activities
4518,gcrc,Software
4521,manufacturing processes,Production and Assembling
4522,positive clinical trial,Support Activities
4524,industrial construction,Production and Assembling
4525,promotional strategy,Support Activities
4526,fiber lasers,Software
4528,assessment of fault,Support Activities
4529,cryosurgery,Software
4530,anterior chamber,Production and Assembling
4531,landscaping,Support Activities
4533,eeoc,Support Activities
4534,supplier development,Supply Chain and Logistics
4536,computer troubleshooting,Software
4537,pediatric rehabilitation,Software
4539,store communications,Support Activities
4540,protein binding,Materials
4541,patient transportation and transfer,Supply Chain and Logistics
4543,medication explanation,Support Activities
4544,java servlets,Software
4545,design criteria development,Ideation and Development
4546,restaurant operations,Support Activities
4547,therapeutic protein formulations,Materials
4549,fundraising,Support Activities
4552,rough sketches,Design
4553,traffic engineering,Supply Chain and Logistics
4554,pharmacy records management,Software
4556,logistical cost minimization,Supply Chain and Logistics
4558,electronics probes,Tooling and Machining
4559,data science,Support Activities
4561,product performance optimization,Support Activities
4562,equipment specification development,Ideation and Development
4563,plant-microbe interactions,Support Activities
4565,federal information security management act,Software
4566,patient billing,Support Activities
4569,laboratory testing,Materials
4571,graphics editing,Design
4572,pressure sensors,Tooling and Machining
4574,orbital welding,Production and Assembling
4575,experiential learning,Support Activities
4576,combustion analyzers,Production and Assembling
4578,solar panels,Tooling and Machining
4579,bed making and linen changes,Tooling and Machining
4580,stem cell research,Materials
4582,crane operation,Supply Chain and Logistics
4583,six sigma black belt,Production and Assembling
4586,testframe,Software
4587,tai chi,General Skills
4588,cash reconciliation,Support Activities
4589,generally accepted accounting principles (gaap),Support Activities
4592,cobra,Support Activities
4593,hydraulic and electrical diagnosis,Tooling and Machining
4595,diabetes diagnosis / treatment,Support Activities
4596,pipefitting,Production and Assembling
4598,immunodeficiency,Materials
4600,microfocus cobol,Software
4603,metal roofing,Tooling and Machining
4604,crop planting,Support Activities
4606,asphalt roofing,Support Activities
4608,biological safety cabinet,Support Activities
4611,profit and loss control,Support Activities
4612,data warehouse processing,Software
4614,microturbines,Software
4618,fast ethernet,Software
4619,public record research,Support Activities
4620,leadership training,Support Activities
4621,job analysis,Support Activities
4622,video cards,Software
4625,vehicle component design,Design
4626,hazardous waste,Production and Assembling
4627,natural resources consulting,Support Activities
4628,songwriting,Support Activities
4630,schematic diagrams,Tooling and Machining
4631,cognos analysis studio,Software
4632,company product/service knowledge,Ideation and Development
4633,rowing,General Skills
4634,cataract surgery,Support Activities
4637,environmental audit systems,Support Activities
4638,micro machining,Production and Assembling
4639,inventory problem resolution,Supply Chain and Logistics
4640,life insurance industry knowledge,Support Activities
4643,reproductive system,Materials
4644,fuel cell assembly,Tooling and Machining
4645,us history,Support Activities
4646,government incentives,Support Activities
4648,virtual private networking (vpn),Software
4651,ibuprofen,Software
4652,purchase order reconciliation,Support Activities
4654,local anesthetics,Support Activities
4655,film production,Production and Assembling
4656,inventory replenishment,Supply Chain and Logistics
4658,storage unit management,Software
4660,file servers,Software
4662,basic mathematics,Support Activities
4663,belt sanders,Software
4664,diffusion furnaces,Tooling and Machining
4666,juvenile rheumatoid arthritis,Support Activities
4669,construction management,Support Activities
4673,lawn maintenance,Tooling and Machining
4674,medical information computerization,Support Activities
4675,employee value proposition,Support Activities
4676,computer installation and setup,Software
4677,unified medical language system (umls),Software
4680,amine,Materials
4683,prosthetic devices,Tooling and Machining
4684,federal aviation regulations,Support Activities
4685,contact management,Support Activities
4686,ultratax,Support Activities
4689,chronic disorders,Support Activities
4690,belt conveyors,Supply Chain and Logistics
4692,equipment rental industry knowledge,Supply Chain and Logistics
4693,solar photovoltaic (pv) generation systems,Support Activities
4696,interpretive accounting,Support Activities
4697,tire installation,Tooling and Machining
4698,financial services marketing,Support Activities
4699,design refinement,Design
4700,genetically modified foods,Materials
4701,advanced technologies,Software
4702,e-waste,Software
4703,general ledger accounting,Support Activities
4704,sentence structure,General Skills
4705,landfill operations,Supply Chain and Logistics
4706,novell,Software
4708,tcl/tk,Software
4709,as9100,Production and Assembling
4711,refractory,Production and Assembling
4712,fluorescent in situ hybridization,Materials
4716,kix,Software
4717,adobe acrobat,Design
4719,wire cutters,Tooling and Machining
4720,commercial roofing,Support Activities
4721,college planning,Support Activities
4722,pre-algebra,Support Activities
4723,big data,Software
4724,data evaluation,Support Activities
4726,bipolar depression,Software
4727,deltek vision,Support Activities
4728,solar photovoltaic installation,Tooling and Machining
4731,cement removal,Support Activities
4732,basic banking knowledge,Support Activities
4733,value added services implementation,Software
4735,set design,Design
4736,supplier database maintenance,Software
4737,behavior evaluation,Support Activities
4738,order processing,Support Activities
4742,standards enforcement,Support Activities
4743,tandem mass spectrometry,Materials
4745,gynecology - oncology,Materials
4746,sepsis,Software
4747,inhibitor,Materials
4748,translation memories,General Skills
4749,ulcer,Software
4750,plastic industry knowledge,Materials
4751,equipment set up,Tooling and Machining
4752,tunnel maintenance,Tooling and Machining
4753,technology transfer,Support Activities
4754,optical data storage,Software
4756,energy engineering,Tooling and Machining
4757,budget performance metrics,Support Activities
4759,sorting,Support Activities
4760,leasing,Support Activities
4761,endoscopy,Software
4762,psoriasis,Support Activities
4763,medical care administration,Support Activities
4764,time management,General Skills
4766,medical microbiology,Materials
4767,western blot,Materials
4771,balance disorder,Software
4772,facility management,Supply Chain and Logistics
4773,copper plumbing installation,Tooling and Machining
4774,air circulators,Tooling and Machining
4776,misys,Support Activities
4777,receipt verification,Support Activities
4778,payment dispute resolution,Support Activities
4782,v-ray,Design
4783,log4j,Software
4784,general clinical research center,Ideation and Development
4785,commercial solar sales,Support Activities
4786,jscript,Software
4790,linkage analysis,Support Activities
4792,cell culture conditions,Materials
4793,atm network,Software
4794,skin test,Support Activities
4795,water pressure gauges,Tooling and Machining
4796,epdm rubber,Tooling and Machining
4797,global budgeting and forecasting,Support Activities
4798,transportation strategy,Supply Chain and Logistics
4799,fire control,Software
4801,high-energy physics,Materials
4803,social marketing,Support Activities
4804,rolling stock,Tooling and Machining
4806,construction modification,Support Activities
4807,candidate sourcing,Support Activities
4809,commodity procurement strategy,Supply Chain and Logistics
4811,patient contact,Support Activities
4812,plumbing,Tooling and Machining
4814,suspension repair,Tooling and Machining
4815,cytogenetics,Software
4816,order correction,Support Activities
4817,environmental studies,Support Activities
4818,instructional design principles,Design
4819,acrylamide,Software
4821,crop sales,Support Activities
4822,synon,Software
4823,ad operations,Support Activities
4824,critical care,Support Activities
4825,catheter guidance,Tooling and Machining
4826,pharmacokinetics,Support Activities
4828,interactive voice response system (ivrs) development,Software
4829,marketing event planning,Support Activities
4830,tenofovir,Software
4831,drill presses,Tooling and Machining
4832,potential supplier screening,Supply Chain and Logistics
4834,design for six sigma,Production and Assembling
4835,modern art,Design
4837,water testing,Software
4840,remote sensing,Tooling and Machining
4842,endoscopic equipment,Tooling and Machining
4844,federal railroad administration,Supply Chain and Logistics
4845,mechanical diagnosis,Tooling and Machining
4846,creativity,General Skills
4847,media buying,Support Activities
4849,metropolitan planning organization (mpo),Software
4850,drug commercialization,Support Activities
4852,portfolio marketing,Support Activities
4853,cadkey,Supply Chain and Logistics
4856,digestive disorders,Software
4857,animal husbandry,Support Activities
4858,policy research,Support Activities
4860,problem description,Software
4861,electronic resource management,Support Activities
4863,tympanometry,Support Activities
4865,flexible manufacturing cells,Production and Assembling
4867,archival repository,Software
4868,pipeline transport,Supply Chain and Logistics
4869,lymphatic system,Materials
4870,financial auditing,Support Activities
4875,environmentally sound products,Support Activities
4876,single-minute exchange of die,Production and Assembling
4877,epa regulation,Support Activities
4878,enzyme-linked immunosorbent assay (elisa),Materials
4879,multimedia,Software
4880,use personnel lifts,Tooling and Machining
4885,credit card reconciliation,Support Activities
4887,market operations,Support Activities
4889,ethanol,Materials
4892,symptomatic treatment,Support Activities
4895,experimental design,Ideation and Development
4896,record review,Support Activities
4897,jda demand,Support Activities
4898,kronos software,Software
4900,business lending,Support Activities
4901,rebar,Software
4903,multimate,General Skills
4904,supply chain cost reduction,Supply Chain and Logistics
4905,capstan hoists,Tooling and Machining
4906,magnesia,Software
4909,actinic keratosis,Materials
4910,training packages,Support Activities
4912,commercializing biotechnology,Materials
4913,catalysis,Materials
4916,pricing strategy,Support Activities
4918,clearcase,Software
4919,notching machinery,Tooling and Machining
4920,calendar management,Support Activities
4922,gynecology,Software
4926,building effective relationships,General Skills
4929,cellulite,Software
4930,java,Software
4931,neonatal critical care,Support Activities
4935,electrical sockets,Tooling and Machining
4938,sco unix,Software
4939,materials coordination,Supply Chain and Logistics
4941,budget balancing,Support Activities
4942,carpenter tools,Tooling and Machining
4944,buying experience,Supply Chain and Logistics
4946,analytical ultracentrifugation,Support Activities
4947,capital planning,Support Activities
4948,energy pricing,Support Activities
4950,doppler ultrasound,Tooling and Machining
4951,internal audit standards,Support Activities
4952,medical management,Support Activities
4953,software systems,Software
4954,physical ability assessment,General Skills
4955,voltage regulators,Tooling and Machining
4956,boating safety,Support Activities
4958,data integrity,Software
4959,arcgis,Software
4961,enterprise master patient index (empi),Software
4962,budget preparation,Support Activities
4964,a-133 auditing,Support Activities
4965,mortgage loan processing,Support Activities
4967,microfocus,Software
4969,accounting analysis,Support Activities
4970,energy efficiency services,Support Activities
4973,continuity testing,Support Activities
4974,web intelligence,Support Activities
4975,wonderware,Ideation and Development
4978,electron microscope,Ideation and Development
4979,metaphase,Materials
4980,pericardial,Software
4981,range of motion exercises,General Skills
4982,purchase-to-pay,Supply Chain and Logistics
4983,irradiation,Materials
4984,budget development,Support Activities
4986,web typography,Software
4987,molecular targets,Support Activities
4989,water quality studies,Materials
4991,proxy server,Software
4992,connected installations,Tooling and Machining
4996,equipment installation,Tooling and Machining
4998,icd 503,Software
5000,intersection design,Design
5001,archeology,Support Activities
5004,watershed improvement,Support Activities
5005,bronto,Software
5006,appliance sales,Support Activities
5008,cryostat,Software
5011,fuel cell analysis,Materials
5012,systemverilog,Software
5013,digital circuit design,Design
5014,eye disease knowledge,Materials
5015,quantitative data analysis,Support Activities
5016,supply base issue identification,Supply Chain and Logistics
5017,accounts payable discrepancy resolution,Support Activities
5018,spss,Support Activities
5020,print servers,Software
5021,financial responsibility,Support Activities
5023,print advertising,Support Activities
5025,fermentation principles,Materials
5026,display set-up,Support Activities
5027,service plumbing,Tooling and Machining
5028,syphilis diagnosis / treatment,Software
5029,irrigation systems,Tooling and Machining
5030,sampling oscilloscopes,Support Activities
5031,gatekeeper,Support Activities
5032,stop-payment issuance,Support Activities
5034,rbase,Software
5035,oil and gas extraction,Support Activities
5036,extended reach drilling,Tooling and Machining
5038,litigation support software,Software
5039,orthodontics,Support Activities
5041,decnet,Software
5042,stenosis,Software
5043,hair loss diagnosis / treatment,Support Activities
5046,mvs,Software
5047,portfolio management,Support Activities
5048,arthroscopy,Software
5049,standard operating procedure updates,Support Activities
5052,object-oriented analysis and design (ooad),Software
5053,capacity planning,Supply Chain and Logistics
5055,environmental marketing,Support Activities
5056,handling of crisis or emergency situations,Software
5058,traffic patterns,Supply Chain and Logistics
5059,national electrical code,Tooling and Machining
5060,hcpcs level ii,Software
5061,mechanical equipment service industry knowledge,Tooling and Machining
5062,alport syndrome,Software
5063,credit industry knowledge,Support Activities
5064,weigh station,Supply Chain and Logistics
5067,sendmail,Support Activities
5068,agile product lifecycle management,Software
5069,artificial insemination,Support Activities
5070,demolition,Tooling and Machining
5075,freight auditing,Supply Chain and Logistics
5076,consumer research,Support Activities
5077,knowledge of acquisitions,Support Activities
5078,asset development plans,Ideation and Development
5079,marketo,Support Activities
5080,transportation security,Supply Chain and Logistics
5081,normal growth,Support Activities
5082,talent acquisition,Support Activities
5083,algorithm development,Software
5084,full life cycle,Support Activities
5085,roofing sales,Support Activities
5086,wire running,Tooling and Machining
5089,twin spindle lathes,Tooling and Machining
5091,ims dc,Support Activities
5092,business intelligence software,Support Activities
5093,cement masonry,Software
5096,pay programs,Support Activities
5097,magazine design,Design
5098,cakewalk,Software
5099,preventative care education,Support Activities
5103,supply chain project management,Supply Chain and Logistics
5104,needs assessment,Support Activities
5105,trailer repairs,Tooling and Machining
5108,acute disease,Support Activities
5110,corporate social responsibility,Support Activities
5112,media lists,Support Activities
5113,power electronics design,Tooling and Machining
5114,subordination agreements,Support Activities
5117,protein function,Materials
5118,avid media composer,Design
5119,creative design,Design
5121,gas management,Support Activities
5122,dod information technology portfolio repository,Software
5124,therapy planning,Support Activities
5125,hazard identification,Tooling and Machining
5126,visual basic for applications (vba),Software
5127,transportation contracts,Support Activities
5129,eczema,Software
5131,child supervision,Support Activities
5132,hardware/software error explanation,Support Activities
5133,market data,Support Activities
5134,trend analysis,Support Activities
5135,geotextiles,Software
5138,emissions testing,Tooling and Machining
5140,total cost of ownership (tco),Supply Chain and Logistics
5141,gi tract,Software
5143,product testing,Ideation and Development
5144,hbase,Software
5145,needle stick,Tooling and Machining
5146,malay,General Skills
5147,pig,Software
5148,architectural design,Design
5150,linear regression,Support Activities
5152,body panel repair,Tooling and Machining
5153,neonatal intensive care unit (nicu),Software
5154,stroke prevention,Support Activities
5156,aortic stenosis,Supply Chain and Logistics
5157,echocardiography,Software
5158,mechanical industry knowledge,Production and Assembling
5160,internal medicine-pediatrics,Software
5162,telescoping boom trucks,Supply Chain and Logistics
5163,fair labor standards act (flsa),Support Activities
5164,phase iv clinical trial,Ideation and Development
5166,knowledgeware,Software
5168,fiber distributed data interface (fddi),Software
5169,psoas,Software
5172,endodontics,Software
5176,solarwinds,Software
5177,psychology,Support Activities
5179,process mapping tools,Software
5180,health screening,Support Activities
5182,infection control,Software
5183,travel advice,Support Activities
5184,automotive design,Design
5186,compressed gas industry knowledge,Production and Assembling
5187,software question response,Software
5189,bacterial transformation,Materials
5190,carbon monoxide detectors,Materials
5192,energy industry,Support Activities
5193,offshore towing,Tooling and Machining
5195,health it sales,Support Activities
5196,urdu,General Skills
5197,2d animation,Design
5198,explant,Software
5199,nosql,Software
5200,neurology,Software
5201,business requirements documentation,Support Activities
5205,type 2 diabetes diagnosis / treatment,Support Activities
5206,postoperative care,Support Activities
5207,piping replacement,Tooling and Machining
5208,inoculate,Support Activities
5214,a/b testing,Support Activities
5223,lab reports,Support Activities
5225,medical records distribution,Support Activities
5226,rexx,Software
5227,human resources operations,Support Activities
5228,filenet,Software
5229,lens prescription,Support Activities
5233,indexed sequential access method (isam),Software
5234,winzip,Software
5235,environmental restoration,Tooling and Machining
5236,ramis,Software
5237,water heater installation,Tooling and Machining
5238,malnutrition,Software
5239,special education,Support Activities
5240,thrombectomy,Software
5241,product adjustments,Support Activities
5242,eclinicalworks,Software
5243,stage inventory,Supply Chain and Logistics
5245,administrative support,Support Activities
5246,retail objectives,Support Activities
5247,hql,Software
5249,sql windows,Software
5255,dental technology,Support Activities
5257,surfactant,Materials
5259,cadd,Design
5261,burning torch,Software
5263,environmental health and safety,Support Activities
5264,nephrology,Support Activities
5265,inventory role,Support Activities
5266,request for proposal (rfp),Supply Chain and Logistics
5268,longitudinal study,Ideation and Development
5270,supination,Software
5271,supply network planning,Supply Chain and Logistics
5272,page design,Design
5275,mass transit industry knowledge,Supply Chain and Logistics
5280,scoliosis,General Skills
5281,stop motion animation,Design
5283,pre trip inspections,Tooling and Machining
5286,income tax code,Support Activities
5287,computer-aided design (cad) software,Software
5288,vhsic hardware description language (vhdl),Software
5289,storage of products/inventory,Supply Chain and Logistics
5292,cimplicity,Support Activities
5293,design of experiments (doe),Production and Assembling
5294,commodities,Support Activities
5295,corporate governance,Support Activities
5297,tumor marker,Support Activities
5298,medical record confidentiality,Support Activities
5299,wound dressing,Support Activities
5300,quantitative research,Ideation and Development
5301,drywall,Tooling and Machining
5302,macromedia director,Software
5304,plastic extrusion welding,Production and Assembling
5305,remicade,Software
5308,energy analysis,Support Activities
5311,customer service best practices identification,Support Activities
5312,influencer marketing,Support Activities
5313,retail advertising,Support Activities
5317,dense wavelength division multiplexing,Support Activities
5318,teamwork / collaboration,General Skills
5325,troubleshooting,General Skills
5326,meeting deadlines,General Skills
5327,cleaning,General Skills
5328,environmental law,Support Activities
5329,property management systems,Support Activities
5330,obstructive sleep apnea,Software
5331,total supply chain planning optimization,Supply Chain and Logistics
5332,business solutions,Support Activities
5333,post trip inspections,Supply Chain and Logistics
5334,biotechnology,Materials
5335,anemometers,Support Activities
5336,motorola hardware,Software
5337,spreadsheets,Software
5339,daceasy accounting,Software
5341,supply chain systems,Supply Chain and Logistics
5342,fleet operations management,Supply Chain and Logistics
5343,device evaluation,Software
5344,product assortment,Support Activities
5345,avian flu,Support Activities
5347,production schedules,Production and Assembling
5348,patient care monitoring,Support Activities
5350,pipeline planning,Support Activities
5354,federal emergency management agency,Support Activities
5355,retail operations,Supply Chain and Logistics
5356,model-view-controller (mvc),Software
5357,maximizer,Software
5358,road standards,Supply Chain and Logistics
5359,ebay,Support Activities
5360,security testing,Software
5361,stapes,Software
5364,computer telephony integration,Software
5367,solution selling,Support Activities
5369,biosciences sales,Support Activities
5371,fuel refineries,Tooling and Machining
5373,dv clearance,Support Activities
5376,health information technology support,Software
5377,benefits negotiation,Support Activities
5379,purchasing management,Supply Chain and Logistics
5381,international transportation services,Supply Chain and Logistics
5383,biocompatibility,Software
5384,embedded systems,Software
5386,program development,Ideation and Development
5387,fluidic circuits,Tooling and Machining
5389,medical laboratory equipment,Materials
5390,component design,Design
5392,air traffic regulations,Support Activities
5395,dna forensics,Materials
5397,immunology,Materials
5399,inventory system,Supply Chain and Logistics
5400,pharmaceutical preparation,Support Activities
5403,persuasive writing,Support Activities
5404,biodiversity,Support Activities
5406,encephalopathy,Materials
5407,receiving checks and security deposits,Support Activities
5408,cross docking,Tooling and Machining
5409,selling expertise,Support Activities
5410,surveillance of premises,Support Activities
5412,advanced manufacturing system development,Ideation and Development
5413,diagnostic imaging,Software
5414,spina bifida,Software
5415,policy recommendation,Support Activities
5416,coronary artery bypass,Tooling and Machining
5418,value selling,Support Activities
5419,mathematica,Support Activities
5420,eye care industry knowledge,Support Activities
5421,child psychology,Support Activities
5422,clerical duties,Support Activities
5423,audit risk,Support Activities
5424,final sketches,Design
5426,green marketing,Support Activities
5428,tableau,Support Activities
5429,osteopathy,Software
5431,inborn errors of metabolism,Materials
5432,prototyping,Ideation and Development
5433,expense report processing,Support Activities
5437,sales terminology,Support Activities
5440,irix,Software
5441,pathology,Materials
5443,otology,Software
5445,ensuring patients comfort,Support Activities
5447,polio,General Skills
5449,molecular physiology,Materials
5452,aggregate planning,Support Activities
5454,smartdraw software,Software
5455,conservation services,Support Activities
5456,merchandise maintenance,Support Activities
5463,peopleclick,Software
5464,wastewater characterization,Materials
5466,insurance knowledge,Support Activities
5467,eudora,Software
5468,user acceptance testing (uat),Software
5469,equipment calibration,Tooling and Machining
5470,desktop publishing,Design
5472,claims processing,Support Activities
5475,facility improvement,Support Activities
5477,audit findings evaluation,Support Activities
5478,equipment financing industry knowledge,Support Activities
5479,dv level security clearance,Support Activities
5480,student lending,Support Activities
5482,upselling products and services,Support Activities
5483,fascia,Software
5484,sarcoidosis,Materials
5485,medicare compliance,Support Activities
5486,shipment distribution management,Supply Chain and Logistics
5490,servo drives / motors,Tooling and Machining
5491,backwards planning,Support Activities
5493,cultural change initiatives,Support Activities
5495,automation tools,Software
5497,mailchimp,Support Activities
5498,haulage,Supply Chain and Logistics
5499,electric car industry knowledge,Tooling and Machining
5500,referral network,Support Activities
5501,multi-modal transportation optimization,Supply Chain and Logistics
5502,forensic engineering,Support Activities
5504,partnership marketing,Support Activities
5506,public relations industry knowledge,Support Activities
5508,parenteral nutrition,Materials
5509,nephrectomy,Software
5510,senior care,Support Activities
5511,hyperhidrosis,Software
5512,contract management,Support Activities
5513,wildlife conservation,Support Activities
5514,physical medicine,Support Activities
5516,tool dies,Tooling and Machining
5518,payment collection,Support Activities
5519,shipping methods,Supply Chain and Logistics
5521,vectoring,Software
5522,atomic force microscopes,Materials
5525,adobe indesign,Design
5526,germanium,Materials
5527,plant taxonomy,Support Activities
5530,vaginitis,Software
5532,transportation demand management,Supply Chain and Logistics
5536,3d sketching,Design
5537,commercial pumps,Support Activities
5538,fanuc,Software
5540,service level agreement,Support Activities
5542,document sorting,Support Activities
5543,rebar tying,Tooling and Machining
5544,competency based training,Support Activities
5545,consumer electronics industry knowledge,Ideation and Development
5546,organizing office supplies,Supply Chain and Logistics
5547,process engineering,Materials
5549,gait training,Support Activities
5551,international classification of diseases (icd),Support Activities
5552,hyperplasia,Software
5553,virtual telecommunications access method (vtam),Software
5555,l&d strategy,Support Activities
5557,efficient transportation,Supply Chain and Logistics
5558,acute leukemia diagnosis / treatment,Support Activities
5559,brochure design,Design
5562,siebel,Support Activities
5563,endometrial cancer knowledge,Materials
5564,brand targeting,Support Activities
5566,bank chargeback resolution,Support Activities
5567,government rebates,Support Activities
5568,library resources,Software
5570,epstein-barr virus,Software
5572,investment management,Support Activities
5573,logistics processes improvement,Supply Chain and Logistics
5574,olfactory,Support Activities
5576,biosafety,Support Activities
5577,clinical epidemiology,Support Activities
5578,mining equipment,Supply Chain and Logistics
5579,masm,Software
5582,technology research,Support Activities
5583,computer engineering,Software
5584,commission for health improvement,Support Activities
5585,medical assistance,Support Activities
5586,equal pay act,Support Activities
5589,farm machinery,Tooling and Machining
5590,point of sale marketing,Support Activities
5591,standards compliance,Support Activities
5592,external auditing,Support Activities
5594,computed tomography (ct),Software
5595,band saw,Tooling and Machining
5596,lymphoid,Software
5597,asia online,Software
5598,palliative treatment,Support Activities
5599,computer-assisted engineering software,Software
5601,computer-assisted translation,General Skills
5602,rirs,Software
5603,tire pressure monitoring system (tpms),Tooling and Machining
5604,cobol,Software
5605,fire trucks,Tooling and Machining
5608,antibody technology,Materials
5610,air freight,Supply Chain and Logistics
5612,surgical oncology,Materials
5613,long term care industry knowledge,Support Activities
5615,abrasions,Support Activities
5618,brine concentrators,Software
5619,aviation law,Support Activities
5620,inventory industry knowledge,Supply Chain and Logistics
5621,music theory,Software
5622,ibm servers,Software
5626,energy measurement devices,Tooling and Machining
5627,natural resource management,Support Activities
5628,anti-infective,Software
5631,intradermal,Support Activities
5632,timber design,Design
5633,product demonstration,Support Activities
5635,fall protection,Support Activities
5636,failure analysis,Production and Assembling
5638,electric test equipment,Tooling and Machining
5640,auditor qualifications,Support Activities
5642,genome analysis,Materials
5643,respiratory therapy,Support Activities
5644,treatment planning,Support Activities
5645,pigging,Software
5647,lean six sigma,Production and Assembling
5648,apnea,Software
5652,payroll reconciliation,Support Activities
5654,engineering sales,Support Activities
5656,knowledge of medical diagnoses,Software
5657,billiards industry knowledge,Support Activities
5658,chemical plant operations,Materials
5660,tumblr,Support Activities
5661,histochemistry,Software
